hostname,os,python_version,pytorch_version,gpu_name,cpu_model,total_ram_gb
instance-t4,Linux-5.10.0-34-cloud-amd64-x86_64-with-glibc2.31,3.10.17,2.10.0+cu128,Tesla T4,Intel(R) Xeon(R) CPU @ 2.00GHz,29.39
instance-v100,Linux-5.10.0-34-cloud-amd64-x86_64-with-glibc2.31,3.10.17,2.10.0+cu128,Tesla V100-SXM2-16GB,Intel(R) Xeon(R) CPU @ 2.30GHz,29.39
